职位名称,薪资待遇,工作地点,学历要求,经验要求,公司名称,公司行业,公司规模,详情链接,搜索关键词,城市
招聘C/C++后端开发工程师,20-35k,北京,硕士,3年以上,某知名公司,电气机械/器材,100-499人,https://www.liepin.com/a/70820901.shtml,c++,北京
招聘C++软件开发工程师,20-40k·16薪,北京-通州区,统招本科,3-5年,京东物流,货运/物流/仓储,10000人以上,https://www.liepin.com/job/1977949375.shtml,c++,北京
招聘C/C++软件开发工程师-嵌入式,20-30k,北京,硕士,3年以上,某知名公司,电气机械/器材,100-499人,https://www.liepin.com/a/70895943.shtml,c++,北京
"招聘c++开发工程师（量化行业,上海/北京/深圳）",40-70k,北京,学历不限,经验不限,某知名公司,基金/证券/期货,50-99人,https://www.liepin.com/a/70778947.shtml,c++,北京
招聘C++开发工程师（回测方向）LJ （可base 北京 上海 香港 新加披）,55-80k·16薪,北京,统招本科,5年以上,某知名公司,通信设备,100-499人,https://www.liepin.com/a/70542799.shtml,c++,北京
招聘基础软件工程师（c++中间件方向）(J11909),15-40k·15薪,北京-大兴区,统招本科,5年以上,北京汽车研究总院,整车制造,1000-2000人,https://www.liepin.com/job/1977397289.shtml,c++,北京
招聘 c++、python,15-20k,北京,统招本科,5年以上,某北京大型计算机软件公司,计算机软件,2000-5000人,https://www.liepin.com/a/70728519.shtml,c++,北京
招聘C++软件工程师,40-65k,北京,学历不限,经验不限,某上海大型互联网公司,互联网,1000-2000人,https://www.liepin.com/a/70632853.shtml,c++,北京
招聘C++开发工程师,16-28k,北京,统招本科,3年以上,淳中科技,电子/半导体/集成电路,500-999人,https://www.liepin.com/job/1979180021.shtml,c++,北京
招聘C/C++开发(大厂核心、20~50W）,20-40k·14薪,北京-海淀区,统招本科,1年以上,某大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/70412213.shtml,c++,北京
招聘C++量化开发工程师(上海/北京/深圳),30-60k·16薪,北京,统招本科,经验不限,某知名公司,基金/证券/期货,50-99人,https://www.liepin.com/a/70959337.shtml,c++,北京
