职位名称,薪资待遇,工作地点,学历要求,经验要求,公司名称,公司行业,公司规模,详情链接,搜索关键词,城市
招聘软件开发工程师(Java/Python/C/C++/JS),18-25k·14薪,南京,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/71352761.shtml,c++,南京
招聘软件开发工程师(Java/Python/C/C++/JS),18-25k·14薪,南京,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/71352737.shtml,c++,南京
招聘C++,13-26k·14薪,南京-雨花台区,本科,1-3年,某知名公司,培训服务,10000人以上,https://www.liepin.com/a/71436237.shtml,c++,南京
招聘C++软件工程师,11-19k,南京-建邺区,学历不限,3-5年,某南京大型计算机软件公司,计算机软件,2000-5000人,https://www.liepin.com/a/69202155.shtml,c++,南京
招聘C++,13-26k·14薪,南京-雨花台区,本科,1-3年,某知名公司,培训服务,10000人以上,https://www.liepin.com/a/71436159.shtml,c++,南京
招聘C++软件工程师,15-30k·14薪,南京-雨花台区,本科,经验不限,某知名上市公司,人力资源服务,10000人以上,https://www.liepin.com/a/69495913.shtml,c++,南京
招聘C++驱动开发工程师,20-25k,南京,本科,5-10年,某南京仪器仪表公司,仪器仪表,1-49人,https://www.liepin.com/a/69925443.shtml,c++,南京
招聘C/C++-南京（双休+六险一金全额）,20-40k·16薪,南京,本科,1-3年,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/70655873.shtml,c++,南京
招聘C# C++软件工程师,10-20k,南京-江宁区,本科,3-5年,南京铂芯技术有限公司,电子/半导体/集成电路,1-49人,https://www.liepin.com/job/1979450303.shtml,c++,南京
招聘C++,18-35k·16薪,南京-雨花台区,本科,经验不限,某南京大型互联网公司,互联网,10000人以上,https://www.liepin.com/a/71210801.shtml,c++,南京
招聘Java/python/web/c/c++/js/go/测试/安卓,15-30k·14薪,南京,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/71505149.shtml,c++,南京
招聘高级软件工程师（C++/QT）,11-25k,南京,硕士,2年以上,南京神源生智能科技有限公司,工业自动化,50-99人,https://www.liepin.com/job/1979438459.shtml,c++,南京
招聘python/java/c/c++/算法/测试,20-40k·15薪,南京,本科,经验不限,某世界500强通信公司,通信设备,10000人以上,https://www.liepin.com/a/70656615.shtml,c++,南京
招聘C++ 软件工程师,12-22k·13薪,南京-溧水区,本科,5-10年,伺服动态,仪器仪表,50-99人,https://www.liepin.com/job/1973118857.shtml,c++,南京
招聘办公室助理,6-7k,长沙-岳麓区,大专,1-3年,嘉兴新模文化传媒有限公司,培训服务,1-49人,https://www.liepin.com/job/1965548985.shtml,c++,南京
招聘c++开发工程师,15-30k,南京,本科,经验不限,某上海大型专业服务公司,专业技术服务,10000人以上,https://www.liepin.com/a/70850773.shtml,c++,南京
招聘智驾HMI后端C++软件开发工程师（PD）(A186944),25-55k·15薪,南京-栖霞区,本科,3年以上,智驾大陆(上海)智能科技有限公司,人工智能,100-499人,https://www.liepin.com/job/1978347637.shtml,c++,南京
招聘C++软件工程师,15-25k,南京-江宁区,本科,3年以上,茂莱(南京)仪器有限公司,仪器仪表,1000-2000人,https://www.liepin.com/job/1978168649.shtml,c++,南京
招聘软件开发工程师C/C++ ,16-25k·14薪,南京,本科,经验不限,某大型世界500强通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/71204791.shtml,c++,南京
招聘财务经理/主管,6-8k,温州-洞头区,大专,1-3年,温州市讯和电脑科技有限公司,计算机硬件,1-49人,https://www.liepin.com/job/1965446075.shtml,c++,南京
招聘C++ 软件架构,20-40k,南京-秦淮区,本科,3-5年,丰疆智能,智能硬件/消费电子,1000-2000人,https://www.liepin.com/job/1978684739.shtml,c++,南京
招聘C++软件工程师（六险一金+周末双休）,15-30k,南京,本科,1-10年,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/71285917.shtml,c++,南京
招聘南京-JAVA/JS/C/C++/Python/go/测试,13-26k,南京-雨花台区,本科,经验不限,某知名公司,培训服务,10000人以上,https://www.liepin.com/a/70954909.shtml,c++,南京
招聘HMI C++软件开发高级工程师,70-100k,南京,硕士,3-5年,某上海人工智能公司,人工智能,100-499人,https://www.liepin.com/a/70552361.shtml,c++,南京
招聘C++软件工程师,15-30k·13薪,南京-雨花台区,本科,2年以上,合肥科大智能机器人技术有限公司,工业自动化,100-499人,https://www.liepin.com/job/1977507833.shtml,c++,南京
招聘计算机视觉算法（Python/C++/深度学习）,20-40k,南京-雨花台区,本科,5-10年,瞬联软件科技,计算机软件,10000人以上,https://www.liepin.com/job/1979582063.shtml,c++,南京
招聘C++软件工程师,15-30k·14薪,南京,学历不限,3-5年,某知名公司,电气机械/器材,100-499人,https://www.liepin.com/a/70789499.shtml,c++,南京
招聘软件开发工程师(Java/C/C++),16-25k·14薪,南京,本科,经验不限,某大型世界500强通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/71185525.shtml,c++,南京
招聘小米汽车-软件开发工程师-C++软件开发,25-40k·15薪,南京-建邺区,本科,3年以上,小米,互联网,10000人以上,https://www.liepin.com/job/1977716189.shtml,c++,南京
招聘C++软件工程师（双休 14-16薪）,20-40k·14薪,南京-雨花台区,本科,1-3年,某深圳世界500强通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/69607179.shtml,c++,南京
招聘软件开发工程师(Java/Python/C/C++/JS,18-25k·14薪,南京-雨花台区,本科,经验不限,某知名公司,通信设备,10000人以上,https://www.liepin.com/a/69931873.shtml,c++,南京
招聘C/C++开发岗,15-30k·16薪,南京,本科,经验不限,某北京人力资源服务上市公司,人力资源服务,10000人以上,https://www.liepin.com/a/69541719.shtml,c++,南京
招聘C++算法开发工程师,15-23k·13薪,南京-浦口区,本科,3-5年,答案智能,计算机软件,1-49人,https://www.liepin.com/job/1979065291.shtml,c++,南京
