职位名称,薪资待遇,工作地点,学历要求,经验要求,公司名称,公司行业,公司规模,详情链接,搜索关键词,城市
招聘主任/高级软件工程师（C++、 Linux）双休 餐补,25-40k,深圳,本科,5-10年,某深圳医疗器械上市公司,医疗器械,1000-9999人,https://www.liepin.com/a/71088765.shtml,c++,深圳
招聘C++开发工程师（3D打印）,22-35k·14薪,深圳-福田区,本科,经验不限,某深圳知名公司,电子/半导体/集成电路,1000-9999人,https://www.liepin.com/a/70466311.shtml,c++,深圳
招聘行政,7-9k,广州-天河区,本科,经验不限,广州衡友贸易有限公司,服装/纺织/皮革,服装/纺织/皮革,https://www.liepin.com/job/1966103045.shtml,c++,深圳
招聘C++开发（双休、线上面试）,10-16k,深圳-龙岗区,本科,1-3年,软通动力,互联网,10000人以上,https://www.liepin.com/job/1979008875.shtml,c++,深圳
招聘 C++引擎开发工程师-搜广推-国际化方向-深圳上海北京,45-75k·16薪,深圳,本科,3-5年,某知名公司,人力资源服务,100-499人,https://www.liepin.com/a/70524431.shtml,c++,深圳
招聘C++开发工程师,20-40k,深圳-龙岗区,本科,2年以上,深圳市新凯来技术有限公司,电子/半导体/集成电路,1000-9999人,https://www.liepin.com/job/1976505041.shtml,c++,深圳
招聘C++软件工程师,20-30k·15薪,深圳-南山区,本科,3年以上,跨维智能,具身智能与机器人,100-499人,https://www.liepin.com/job/1979300933.shtml,c++,深圳
招聘知名金融公司-系统后端开发（java/C++/go）,30-55k·20薪,深圳-南山区,硕士,3-5年,某深圳基金/证券/期货上市公司,基金/证券/期货,10000人以上,https://www.liepin.com/a/69636743.shtml,c++,深圳
招聘软件开发工程师C/C++,18-25k·14薪,深圳,本科,经验不限,某大型世界500强通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/71204301.shtml,c++,深圳
招聘C++高级软件工程师,25-35k·13薪,深圳-南山区,本科,3-5年,某深圳计算机软件公司,计算机软件,100-499人,https://www.liepin.com/a/70338623.shtml,c++,深圳
招聘中级C++工程师,20-28k·13薪,深圳-龙岗区,本科,5-10年,纵维立方,智能硬件/消费电子,1000-9999人,https://www.liepin.com/job/1979180013.shtml,c++,深圳
招聘C++-深圳（双休+全额六险一金）,20-40k·16薪,深圳-龙岗区,本科,1-3年,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/70655833.shtml,c++,深圳
招聘C++,18-35k·16薪,深圳-龙岗区,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/71203493.shtml,c++,深圳
招聘C++开发工程师,50-80k·16薪,深圳,本科,2-5年,某上海大型互联网公司,互联网,1000-9999人,https://www.liepin.com/a/70899507.shtml,c++,深圳
招聘高级客户端开发工程师（C++ -深圳、北京）,35-65k·15薪,深圳,本科,4年以上,某大型知名智能硬件/消费电子公司,智能硬件/消费电子,10000人以上,https://www.liepin.com/a/70102027.shtml,c++,深圳
招聘C++软件开发主管,25-35k,深圳,本科,3年以上,某深圳工业自动化公司,工业自动化,100人以下,https://www.liepin.com/a/71180873.shtml,c++,深圳
招聘机器视觉软件工程师（C++ QT）,20-30k,深圳-龙岗区,大专,3-5年,某深圳人工智能公司,人工智能,100-499人,https://www.liepin.com/a/71210249.shtml,c++,深圳
招聘整车集成工程师- C++,30-50k,深圳,本科,经验不限,某深圳大型人工智能公司,人工智能,500-999人,https://www.liepin.com/a/70816657.shtml,c++,深圳
招聘C++软件开发架构师(J10955),25-45k,深圳,本科,3年以上,深圳市卓驭科技有限公司,人工智能,1000-9999人,https://www.liepin.com/job/1979345447.shtml,c++,深圳
招聘C++软件开发工程师,15-30k·14薪,深圳-光明区,本科,3-5年,赛陆医疗,生物技术,100-499人,https://www.liepin.com/job/1979093133.shtml,c++,深圳
招聘高级客户端开发工程师（C++ - 北京/深圳）,28-55k·16薪,深圳,本科,3年以上,某知名公司,计算机硬件,100-499人,https://www.liepin.com/a/69746437.shtml,c++,深圳
招聘嵌入式C++开发工程师(传感器方向),50-80k·15薪,深圳,本科,5-10年,某深圳大型智能硬件公司,智能硬件/消费电子,1000-9999人,https://www.liepin.com/a/70830031.shtml,c++,深圳
招聘SSMR AT Software Engineer 软件工程师 (C++运动控制),薪资面议,深圳-南山区,硕士,1-5年,西门子(深圳)磁共振有限公司,医疗器械,1000-9999人,https://www.liepin.com/job/1975611593.shtml,c++,深圳
招聘客户端后端开发（C++/年底双薪/带教）,17-30k·14薪,深圳-龙岗区,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/70872259.shtml,c++,深圳
招聘C++ Qt开发,30-50k,深圳,本科,5-10年,某深圳IT服务公司,IT服务,IT服务,https://www.liepin.com/a/70209209.shtml,c++,深圳
招聘知名金融公司-系统后端开发（java/C++/go）,30-55k·20薪,深圳-南山区,硕士,3-5年,某深圳基金/证券/期货上市公司,基金/证券/期货,10000人以上,https://www.liepin.com/a/69636753.shtml,c++,深圳
