职位名称,薪资待遇,工作地点,学历要求,经验要求,公司名称,公司行业,公司规模,详情链接,搜索关键词,城市
招聘C/C++软件工程师,7-10k,成都-高新区,本科,经验不限,云祺科技,计算机软件,100-499人,https://www.liepin.com/job/1979206647.shtml,c,成都
招聘java/c/c++/python/软件测试,15-30k·13薪,成都,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/68864957.shtml,c,成都
招聘高级开发工程师（java/C/C++/Python）双休高薪年终奖,15-30k·16薪,成都,本科,经验不限,某深圳世界500强公司,通信设备,10000人以上,https://www.liepin.com/a/70976181.shtml,c,成都
招聘linux  c/c++开发工程师,12-22k·13薪,成都-武侯区,本科,3年以上,博智安全科技股份有限公司,网络/信息安全,100-499人,https://www.liepin.com/job/1973686963.shtml,c,成都
招聘C4D设计师,7-12k,成都-高新区,大专,1-3年,成都会有时品牌管理有限公司,广告/公关/会展,50-99人,https://www.liepin.com/job/1949061425.shtml,c,成都
招聘C/C++软件开发工程师,18-25k·14薪,成都-高新区,本科,经验不限,某大型世界500强通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/69716771.shtml,c,成都
招聘C/C++ 成都,15-30k·14薪,成都,本科,经验不限,某世界500强通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/70811077.shtml,c,成都
招聘开发/测试/算法岗（java/python/C/C＋＋/JS）,17-30k·14薪,成都,本科,经验不限,某上海大型专业技术服务公司,专业技术服务,10000人以上,https://www.liepin.com/a/68762863.shtml,c,成都
招聘软件开发工程师（JAVA/C/C#/C++/JS/python）法定双休、班车、饭堂、高额年终奖,20-35k·16薪,成都-郫都区,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/70645405.shtml,c,成都
招聘汽车软件测试（C/python）,10-14k,成都-高新区,本科,1-3年,新超硕科技(北京)有限公司,科技推广服务,500-999人,https://www.liepin.com/job/1976126055.shtml,c,成都
招聘C/C++/JAVA/Python/web/GO/大数据开发/算法/ 测试,15-30k·14薪,成都,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/70570463.shtml,c,成都
招聘会计助理包住,6-7k,南京-建邺区,大专,1-3年,温州市讯和电脑科技有限公司,计算机硬件,1-49人,https://www.liepin.com/job/1965566579.shtml,c,成都
招聘软件开发工程师（Java/C/C++/Python/Js）,15-25k·14薪,成都,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/70569567.shtml,c,成都
招聘数据库内核（C/C++）研发工程师,25-35k,成都-高新区,本科,5-10年,云和恩墨,IT服务,100-499人,https://www.liepin.com/job/1973808441.shtml,c,成都
招聘高级C开发工程师,18-30k,成都-双流区,本科,5-10年,拓尔思天行网安信息技术有限责任公司,计算机软件,100-499人,https://www.liepin.com/job/1951709295.shtml,c,成都
招聘高级C/C++开发工程师,15-30k·16薪,成都-郫都区,本科,经验不限,华为,通信设备,10000人以上,https://www.liepin.com/job/1957869793.shtml,c,成都
招聘客服专员,4-6k,芜湖,学历不限,1年以下,舟山飞旭科技有限公司,游戏,游戏,https://www.liepin.com/job/1966082327.shtml,c,成都
招聘中级C开发工程师,12-18k,成都-双流区,本科,3-5年,拓尔思天行网安信息技术有限责任公司,计算机软件,100-499人,https://www.liepin.com/job/1951709201.shtml,c,成都
招聘高级C/C++软件工程师,14-20k·14薪,成都-武侯区,本科,经验不限,锐捷网络,计算机硬件,5000-10000人,https://www.liepin.com/job/1946641645.shtml,c,成都
招聘C软件开发工程师,15-30k·15薪,成都,本科,经验不限,华为,通信设备,10000人以上,https://www.liepin.com/job/1946675321.shtml,c,成都
招聘C/C++,15-30k,成都,本科,经验不限,北京左江科技股份有限公司,计算机软件,100-499人,https://www.liepin.com/job/1945265351.shtml,c,成都
招聘软件开发工程师(Java/Python/C/C++/Go/JS),18-25k·14薪,成都-郫都区,本科,经验不限,某知名公司,通信设备,10000人以上,https://www.liepin.com/a/69929539.shtml,c,成都
招聘C/C++开发工程师,16-24k·14薪,成都,本科,经验不限,某知名公司,通信设备,10000人以上,https://www.liepin.com/a/70915335.shtml,c,成都
招聘java/c/c++/python/js软件开发工程师,13-26k·14薪,成都,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/70347657.shtml,c,成都
招聘C/C++开发工程师,20-40k·14薪,成都,学历不限,1-3年,某国内大型电子/半导体/集成电路公司,电子/半导体/集成电路,10000人以上,https://www.liepin.com/a/70757423.shtml,c,成都
招聘C4D动画设计师,8-12k,成都-武侯区,本科,3-5年,力方数字科技集团有限公司,计算机软件,1000-2000人,https://www.liepin.com/job/1954069033.shtml,c,成都
招聘VUE-WEB开发（看重C端经验/电商或者支付）,13-15k,成都-高新区,本科,5-10年,上海华钦信息科技股份有限公司,计算机软件,1000-2000人,https://www.liepin.com/job/1977440471.shtml,c,成都
招聘机载软件开发（嵌入式/C）,12-20k,成都-高新区,本科,3年以上,新超硕科技(北京)有限公司,科技推广服务,500-999人,https://www.liepin.com/job/1977477227.shtml,c,成都
招聘Linux C开发工程师（岗位1）,12-24k,成都-高新区,本科,3年以上,北京国泰网信科技股份有限公司,互联网,100-499人,https://www.liepin.com/job/1972747825.shtml,c,成都
招聘物业-社区生活C端运营,11-15k,成都-金牛区,本科,经验不限,龙湖集团,房地产开发经营,10000人以上,https://www.liepin.com/job/1965146679.shtml,c,成都
招聘Linux C开发工程师（岗位3）,12-24k,成都-高新区,本科,3年以上,北京国泰网信科技股份有限公司,互联网,100-499人,https://www.liepin.com/job/1972749241.shtml,c,成都
招聘linux C 嵌入式开发,9-15k,成都-锦江区,本科,5-10年,四川学到牛科技有限公司,计算机软件,50-99人,https://www.liepin.com/job/1974459877.shtml,c,成都
招聘C嵌入式开发工程师,10-15k,成都-锦江区,本科,1-3年,亚信安全科技股份有限公司,计算机软件,2000-5000人,https://www.liepin.com/job/1968865019.shtml,c,成都
招聘C/C++软件开发工程师,15-25k,成都,本科,1-3年,苏州登临科技有限公司,计算机硬件,100-499人,https://www.liepin.com/job/1938745793.shtml,c,成都
招聘C/C++软件开发工程师,12-22k·14薪,成都-高新区,本科,2年以上,鼎桥技术,通信设备,1000-2000人,https://www.liepin.com/job/1971069945.shtml,c,成都
招聘Linux C网络安全研发工程师,20-35k·14薪,成都-武侯区,本科,5-10年,盛邦安全,网络/信息安全,500-999人,https://www.liepin.com/job/1945541191.shtml,c,成都
招聘C/C++软件开发工程师,13-25k·14薪,成都-高新区,本科,3-5年,鼎桥技术,通信设备,1000-2000人,https://www.liepin.com/job/1971260957.shtml,c,成都
招聘linux c开发工程师,18-25k·14薪,成都,本科,3-5年,亚信安全,计算机软件,2000-5000人,https://www.liepin.com/job/1944978131.shtml,c,成都
招聘C/C++软件工程师,13-21k·14薪,成都-高新区,本科,3-10年,鼎桥技术,通信设备,1000-2000人,https://www.liepin.com/job/1970249373.shtml,c,成都
招聘C/C++软件开发工程师,13-25k·14薪,成都-高新区,本科,3-5年,鼎桥技术,通信设备,1000-2000人,https://www.liepin.com/job/1971252509.shtml,c,成都
招聘C开发工程师,15-25k,成都-郫都区,本科,1-3年,成都华为技术有限公司,计算机软件,10000人以上,https://www.liepin.com/job/1954600479.shtml,c,成都
招聘Linux C开发工程师,11-18k·15薪,成都-高新区,本科,1-3年,中电科网络安全科技股份有限公司,网络/信息安全,1000-2000人,https://www.liepin.com/job/1948101429.shtml,c,成都
