职位名称,薪资待遇,工作地点,学历要求,经验要求,公司名称,公司行业,公司规模,详情链接,搜索关键词,城市
招聘Python开发工程师,20-40K/月,上海-青浦区,本科,经验不限,某大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/70546915.shtml,python,上海
招聘Python开发工程师（大厂 核心自研）,15-30K/月,上海-浦东新区,本科,3-5年,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/70990343.shtml,python,上海
招聘Python后台开发,30-40K/月,上海,本科,3-5年,某上海基金/证券/期货公司,基金/证券/期货,100-499人,https://www.liepin.com/a/71098451.shtml,python,上海
招聘Python后端开发,20-40K/月,上海-浦东新区,本科,2-4年,某深圳电子/半导体/集成电路公司,电子/半导体/集成电路,电子/半导体/集成电路,https://www.liepin.com/a/70796065.shtml,python,上海
招聘AI软件开发工程师（会python）,13-17K/月,上海,本科,1年以上,某上海制药上市公司,制药,500-999人,https://www.liepin.com/a/70727285.shtml,python,上海
招聘Python,40-45K/月,上海,本科,1-3年,某上海基金/证券/期货公司,基金/证券/期货,100-499人,https://www.liepin.com/a/70804527.shtml,python,上海
招聘软件测试/python自动化测试（上海/线上面试）,10-15K/月,上海-浦东新区,本科,2-10年,软通动力,互联网,10000人以上,https://www.liepin.com/job/1978959447.shtml,python,上海
招聘Python后端或数据开发（高薪不卷不加班发展好）量化开发工程师,50-80K/月,上海,本科,经验不限,上百家量化自营及私募（几亿到百亿都有）,基金/证券/期货,100人以下,https://www.liepin.com/a/71333635.shtml,python,上海
招聘Python开发工程师/主任工,25-35K/月,上海-浦东新区,本科,5年以上,某重庆大型整车制造公司,整车制造,10000人以上,https://www.liepin.com/a/71121755.shtml,python,上海
招聘Python 开发工程师,25-40K/月,上海-闵行区,本科,经验不限,上海链接者集团有限公司,贸易/进出口,100-499人,https://www.liepin.com/job/1979431183.shtml,python,上海
招聘Python高级开发工程师,60-80K/月,上海,本科,3年以上,某北京专业技术服务公司,专业技术服务,专业技术服务,https://www.liepin.com/a/69795807.shtml,python,上海
招聘Python开发,20-40K/月,上海-浦东新区,本科,经验不限,某北京人力资源服务上市公司,人力资源服务,10000人以上,https://www.liepin.com/a/70935435.shtml,python,上海
招聘Python开发工程师,30-40K/月,上海,本科,3-5年,某上海基金/证券/期货公司,基金/证券/期货,100-499人,https://www.liepin.com/a/70800225.shtml,python,上海
招聘DataBricks AWS Python开发顾问,15-30K/月,上海-黄浦区,本科,2年以上,德勤Deloitte,专业技术服务,10000人以上,https://www.liepin.com/job/1979051041.shtml,python,上海
招聘Python开发工程师(金融行业-上海）,18-30K/月,上海,本科,3-5年,某成都基金/证券/期货上市公司,基金/证券/期货,100人以下,https://www.liepin.com/a/70591451.shtml,python,上海
招聘开发/测试/算法岗（java/python/C/C＋＋/JS）,16-30K/月,上海,本科,经验不限,某上海大型专业技术服务公司,专业技术服务,10000人以上,https://www.liepin.com/a/71204845.shtml,python,上海
招聘Quant developer（Python-期权）,20-40K/月,上海,本科,3年以下,某北京基金/证券/期货公司,基金/证券/期货,100-499人,https://www.liepin.com/a/69019455.shtml,python,上海
招聘自动化测试（Python/C）,14-15K/月,上海,学历不限,3-5年,某上海专业技术服务公司,专业技术服务,100-499人,https://www.liepin.com/a/71038245.shtml,python,上海
招聘人事经理,8-9K/月,儋州,学历不限,经验不限,海南思沃家电商科技有限公司,互联网,100-499人,https://www.liepin.com/job/1966338311.shtml,python,上海
招聘Java/C/C++/Python/JS软件开发工程师,20-35K/月,上海-浦东新区,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/68779545.shtml,python,上海
招聘软件开发工程师（Java/C/C++/Python/Js）,15-25K/月,上海,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/71064011.shtml,python,上海
招聘Python开发工程师,20-30K/月,上海-浦东新区,本科,3-5年,某上海基金/证券/期货上市公司,基金/证券/期货,100人以下,https://www.liepin.com/a/70563289.shtml,python,上海
招聘装修设计师,5-6K/月,舟山-定海区,大专,1-3年,嘉兴新模文化传媒有限公司,培训服务,100人以下,https://www.liepin.com/job/1965477395.shtml,python,上海
招聘python开发（qtpy),13-15K/月,上海-浦东新区,学历不限,1年以上,某上海电子/半导体/集成电路公司,电子/半导体/集成电路,100人以下,https://www.liepin.com/a/70337937.shtml,python,上海
招聘Python爬虫工程师,12-20K/月,上海-闵行区,本科,经验不限,上海飒智智能科技有限公司,机械/设备,100人以下,https://www.liepin.com/job/1969655097.shtml,python,上海
招聘【LLM】Python manager/Architect,35-45K/月,上海,学历不限,5-10年,某上海大型医疗器械公司,医疗器械,1000-9999人,https://www.liepin.com/a/70678733.shtml,python,上海
招聘Python,40-50K/月,上海,本科,3年以上,某基金/证券/期货上市公司,基金/证券/期货,100人以下,https://www.liepin.com/a/70637081.shtml,python,上海
招聘软件开发工程师Swift&Python,30-35K/月,上海,本科,3-5年,某上海大型计算机软件公司,计算机软件,500-999人,https://www.liepin.com/a/69800275.shtml,python,上海
招聘python开发工程师,25-45K/月,上海,本科,经验不限,上海某知名量化私募,基金/证券/投资,100人以下,https://www.liepin.com/a/71108589.shtml,python,上海
招聘Python开发工程师,40-70K/月,上海,本科,经验不限,某北京基金/证券/期货公司,基金/证券/期货,100-499人,https://www.liepin.com/a/69854195.shtml,python,上海
招聘Python开发工程师,20-30K/月,上海,本科,经验不限,某北京基金/证券/期货公司,基金/证券/期货,100-499人,https://www.liepin.com/a/69854167.shtml,python,上海
招聘Python开发工程师/主任工程师,20-35K/月,上海,本科,3年以上,某知名公司,批发/零售,批发/零售,https://www.liepin.com/a/70352993.shtml,python,上海
招聘Python后端开发工程师,15-20K/月,上海-浦东新区,本科,3-5年,魔数智擎,计算机软件,100人以下,https://www.liepin.com/job/1976846775.shtml,python,上海
招聘Python开发,23-28K/月,上海,本科,3-5年,某上海互联网公司,互联网,互联网,https://www.liepin.com/a/71161751.shtml,python,上海
招聘Python开发工程师（中后台）,50-60K/月,上海,本科,3-5年,某上海基金/证券/期货公司,基金/证券/期货,100人以下,https://www.liepin.com/a/70716435.shtml,python,上海
招聘Python开发,25-50K/月,上海,学历不限,经验不限,某北京基金/证券/期货公司,基金/证券/期货,100-499人,https://www.liepin.com/a/69226371.shtml,python,上海
招聘Python开发工程师,20-25K/月,上海,本科,3-5年,某大型制药公司,制药,500-999人,https://www.liepin.com/a/71206077.shtml,python,上海
招聘Python Mechanical Engineer,30-40K/月,上海,本科,5-10年,某科技公司,专业服务,100人以下,https://www.liepin.com/a/70391577.shtml,python,上海
招聘Python全栈开发工程师,20-40K/月,上海-浦东新区,本科,3-5年,绵烁资产,基金/证券/期货,100人以下,https://www.liepin.com/job/1979252877.shtml,python,上海
招聘Python开发工程师,35-45K/月,上海,本科,1-3年,某大型知名基金/证券/期货公司,房地产开发经营,10000人以上,https://www.liepin.com/a/70813501.shtml,python,上海
招聘Python开发,25-26K/月,上海,本科,3年以上,某基金/证券/期货上市公司,基金/证券/期货,100人以下,https://www.liepin.com/a/70087325.shtml,python,上海
招聘Python（上海/北京,10-15K/月,上海,学历不限,经验不限,某知名公司,专业技术服务,100人以下,https://www.liepin.com/a/71219609.shtml,python,上海
