职位名称,薪资待遇,工作地点,学历要求,经验要求,公司名称,公司行业,公司规模,详情链接,搜索关键词,城市
招聘JAVA、C、C++、PYTHON基础开发岗位，测试岗位。,15-30k·14薪,西安,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/70665051.shtml,python,西安
招聘Java/js/python/C++开发,14-28k·14薪,西安,本科,经验不限,某西安大型云计算/大数据公司,云计算/大数据,10000人以上,https://www.liepin.com/a/71549941.shtml,python,西安
招聘Python（自研核心岗/福利齐全）,20-35k·14薪,西安-雁塔区,本科,经验不限,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/69863997.shtml,python,西安
招聘Python开发工程师,15-25k,西安-雁塔区,本科,1-3年,某东莞大型电子/半导体/集成电路公司,电子/半导体/集成电路,10000人以上,https://www.liepin.com/a/69412663.shtml,python,西安
招聘后端研发工程师（python)(J10971),15-25k,西安-长安区,本科,1-3年,南威软件集团,计算机软件,1000-2000人,https://www.liepin.com/job/1979682181.shtml,python,西安
招聘Python开发工程师,15-30k·14薪,西安,本科,经验不限,某上海大型专业技术服务公司,专业技术服务,10000人以上,https://www.liepin.com/a/68985749.shtml,python,西安
招聘Python数据开发工程师,15-18k,西安-雁塔区,学历不限,5-10年,某广州大型计算机软件公司,计算机软件,5000-10000人,https://www.liepin.com/a/71490843.shtml,python,西安
招聘Python开发工程师,14-21k,西安,本科,2-10年,某深圳大型物联网公司,计算机软件,500-999人,https://www.liepin.com/a/71286837.shtml,python,西安
招聘Python后端开发工程师（西安）(A253698),11-18k·15薪,西安-高新区,本科,2-5年,北京猎户星空科技有限公司,人工智能,100-499人,https://www.liepin.com/job/1978515049.shtml,python,西安
招聘Python爬虫工程师,8-16k·13薪,西安-碑林区,本科,2年以上,西安多普多信息科技有限公司,IT服务,50-99人,https://www.liepin.com/job/1977674781.shtml,python,西安
招聘python开发（偶尔出差）,6-12k,西安-长安区,本科,2年以上,上海汉得信息技术股份有限公司,计算机软件,10000人以上,https://www.liepin.com/job/1979355393.shtml,python,西安
招聘python自动化测试,9-11k,西安-高新区,本科,3-5年,软通动力,互联网,10000人以上,https://www.liepin.com/job/1979649741.shtml,python,西安
招聘python开发工程师,8-18k·13薪,西安,本科,2年以上,中软国际科技,IT服务,10000人以上,https://www.liepin.com/job/1947193347.shtml,python,西安
招聘Python数据开发工程师,12-15k,西安,本科,3-10年,某上海专业技术服务公司,专业技术服务,50-99人,https://www.liepin.com/a/70433807.shtml,python,西安
招聘Python开发工程师,20-40k·14薪,西安,本科,1-3年,某深圳大型通信设备公司,通信设备,10000人以上,https://www.liepin.com/a/56133339.shtml,python,西安
招聘Java/C/C++/Python/JS/C#/IOS/Andriod/测试,15-30k,西安-雁塔区,本科,经验不限,某上海大型专业技术服务公司,专业技术服务,10000人以上,https://www.liepin.com/a/69555693.shtml,python,西安
招聘python软件测试,12-14k,西安,本科,3-5年,某北京大型互联网公司,互联网,10000人以上,https://www.liepin.com/a/70253667.shtml,python,西安
招聘Python开发工程师,13-23k,西安-高新区,本科,5-10年,中电金信,计算机软件,10000人以上,https://www.liepin.com/job/1974461867.shtml,python,西安
招聘Python开发,11-22k,西安,本科,2-4年,某苏州大型专业技术服务公司,专业技术服务,2000-5000人,https://www.liepin.com/a/70022469.shtml,python,西安
招聘python数据开发（外企银行）,12-14k,西安-高新区,本科,3-5年,上海华钦信息科技股份有限公司,计算机软件,1000-2000人,https://www.liepin.com/job/1978612323.shtml,python,西安
